Date,Open,High,Low,Close,Adj Close,Volume
2018-12-12,113.000000,113.980003,112.150002,112.209999,111.519379,7723900
2018-12-13,112.870003,113.599998,112.339996,113.389999,112.692116,6661500
2018-12-14,112.370003,113.919998,112.050003,112.199997,111.509438,7601900
2018-12-17,112.290001,112.889999,110.029999,110.620003,109.939171,7731800
2018-12-18,110.870003,111.080002,108.900002,109.449997,108.776360,6682300
2018-12-19,110.000000,112.129997,108.949997,109.220001,108.547783,9416900
2018-12-20,108.750000,109.209999,106.129997,107.000000,106.341446,9387300
2018-12-21,106.470001,108.750000,103.860001,104.220001,103.578560,15530600
2018-12-24,103.230003,103.900002,100.349998,100.349998,99.732376,7133000
2018-12-26,100.489998,105.849998,100.379997,105.830002,105.178650,9422800
2018-12-27,104.410004,106.550003,102.800003,106.519997,105.864395,8201400
2018-12-28,107.279999,108.519997,106.190002,107.300003,106.639603,7620500
2018-12-31,109.110001,109.669998,107.550003,109.650002,108.975136,7241700
2019-01-02,108.099998,109.139999,107.730003,108.970001,108.299324,9723500
2019-01-03,108.480003,108.650002,105.940002,106.330002,105.675568,10594700
2019-01-04,107.940002,110.750000,107.250000,109.610001,108.935379,10122800
2019-01-07,109.910004,111.400002,109.300003,110.559998,109.879532,6714700
2019-01-08,111.800003,112.559998,111.169998,111.419998,110.734238,8730700
2019-01-09,111.800003,112.800003,111.559998,112.669998,111.976547,5931900
2019-01-10,111.989998,112.910004,111.500000,112.800003,112.105751,6160100
2019-01-11,112.180000,112.919998,111.730003,112.650002,111.956673,4819100
2019-01-14,111.650002,112.699997,111.430000,112.419998,111.728088,6980600
2019-01-15,112.300003,113.180000,110.610001,111.760002,111.072151,9800900
2019-01-16,111.449997,112.010002,110.809998,110.910004,110.227386,5899900
2019-01-17,110.720001,111.260002,110.160004,111.010002,110.326767,6392000
2019-01-18,111.860001,111.930000,110.830002,111.040001,110.356583,8554700
2019-01-22,110.620003,111.330002,109.750000,110.599998,109.919289,6986700
2019-01-23,111.190002,111.839996,110.000000,111.120003,110.436089,6845600
2019-01-24,111.000000,111.110001,109.930000,110.550003,109.869598,6716800
2019-01-25,111.470001,111.500000,110.660004,111.089996,110.406265,5706900
2019-01-28,110.760002,110.989998,109.949997,110.809998,110.127991,6178800
2019-01-29,110.650002,110.930000,110.000000,110.900002,110.217445,5253700
2019-01-30,110.300003,110.580002,108.959999,110.129997,109.452179,7853800
2019-01-31,110.099998,111.540001,110.010002,111.519997,110.833626,8351600
2019-02-01,111.970001,112.050003,110.930000,111.300003,110.614983,6557700
